experiment_id	hypothesis_id	candidate	budget	status	accuracy	mean_query_ops	p95_latency_us	state_bytes	knowledge_compute_slope	depth_compute_slope	integrity_ok	plan_sha256	result_path	created_at
EXP-20260830-0008	HYP-0002	mismatched_library_search	screen	complete	0.9861111111111112	169549.88888888888	17223.28888888889	1504.0	-2.0523882730687733e-31	4.891246162111082	True	893b80ace915461ed9249019c0e0edcb4bccec006cb7836ec666d2a73b19e426	research/results/EXP-20260830-0008.json	2026-08-30T01:34:11Z
EXP-20260830-0008	HYP-0002	oracle_library_search	screen	complete	0.9930555555555556	33501.243055555555	5582.188888888889	1504.0	0.0	3.997765736867374	True	893b80ace915461ed9249019c0e0edcb4bccec006cb7836ec666d2a73b19e426	research/results/EXP-20260830-0008.json	2026-08-30T01:34:11Z
EXP-20260830-0008	HYP-0002	learned_library_search	screen	complete	0.9930555555555556	33501.243055555555	5718.655555555556	25624.0	0.0	3.997765736867374	True	893b80ace915461ed9249019c0e0edcb4bccec006cb7836ec666d2a73b19e426	research/results/EXP-20260830-0008.json	2026-08-30T01:34:11Z
EXP-20260830-0009	HYP-0002	random_program_guess	screen	complete	0.034722222222222224	1.0	0.3111111111111111	1504.0	0.0	0.0	True	9c1b8d8d33139ecf20ea622e79c709ba17e4535a950b96945f43d6a36c354830	research/results/EXP-20260830-0009.json	2026-08-30T01:42:56Z
EXP-20260830-0009	HYP-0002	primitive_program_search	screen	complete	1.0	82717.81944444444	9389.147222222222	1504.0	2.0523882730687733e-31	3.921288306868967	True	9c1b8d8d33139ecf20ea622e79c709ba17e4535a950b96945f43d6a36c354830	research/results/EXP-20260830-0009.json	2026-08-30T01:42:56Z
EXP-20260830-0009	HYP-0002	exact_program_memo	screen	complete	1.0	82717.81944444444	9432.611111111111	2336.0	2.0523882730687733e-31	3.921288306868967	True	9c1b8d8d33139ecf20ea622e79c709ba17e4535a950b96945f43d6a36c354830	research/results/EXP-20260830-0009.json	2026-08-30T01:42:56Z
EXP-20260830-0009	HYP-0002	mismatched_library_search	screen	complete	1.0	176414.84722222222	17599.9	1504.0	0.0	4.281853109033429	True	9c1b8d8d33139ecf20ea622e79c709ba17e4535a950b96945f43d6a36c354830	research/results/EXP-20260830-0009.json	2026-08-30T01:42:56Z
EXP-20260830-0009	HYP-0002	oracle_library_search	screen	complete	1.0	34064.72222222222	5996.741666666667	1504.0	0.0	3.3986536831354197	True	9c1b8d8d33139ecf20ea622e79c709ba17e4535a950b96945f43d6a36c354830	research/results/EXP-20260830-0009.json	2026-08-30T01:42:56Z
EXP-20260830-0009	HYP-0002	learned_library_search	screen	complete	1.0	34064.72222222222	6095.694444444444	25624.0	0.0	3.3986536831354197	True	9c1b8d8d33139ecf20ea622e79c709ba17e4535a950b96945f43d6a36c354830	research/results/EXP-20260830-0009.json	2026-08-30T01:42:56Z
EXP-20260830-0010	HYP-0006	random_cellular_guess	quick	complete	0.625	1.0	1.4333333333333333	8256.0	0.0	0.0	True	0e024c5135afe77737a7b770f638e320bbb298711b34f98702c0f6e6ab7c0665	research/results/EXP-20260830-0010.json	2026-08-30T01:59:32Z
EXP-20260830-0010	HYP-0006	learned_synchronous_ca	quick	complete	1.0	2236.1666666666665	120.48333333333333	8664.0	1.542556688128304	1.0708745017736805	True	0e024c5135afe77737a7b770f638e320bbb298711b34f98702c0f6e6ab7c0665	research/results/EXP-20260830-0010.json	2026-08-30T01:59:32Z
EXP-20260830-0010	HYP-0006	learned_event_queue_ca	quick	complete	1.0	142.95833333333334	16.416666666666668	8488.0	0.0	1.2212027185634933	True	0e024c5135afe77737a7b770f638e320bbb298711b34f98702c0f6e6ab7c0665	research/results/EXP-20260830-0010.json	2026-08-30T01:59:32Z
EXP-20260830-0010	HYP-0006	oracle_event_queue_ca	quick	complete	1.0	117.70833333333333	12.833333333333334	8464.0	0.0	1.1687393686739738	True	0e024c5135afe77737a7b770f638e320bbb298711b34f98702c0f6e6ab7c0665	research/results/EXP-20260830-0010.json	2026-08-30T01:59:32Z
EXP-20260830-0010	HYP-0006	sparse_grid_bfs	quick	complete	1.0	117.70833333333333	14.200000000000001	8464.0	0.0	1.1687393686739738	True	0e024c5135afe77737a7b770f638e320bbb298711b34f98702c0f6e6ab7c0665	research/results/EXP-20260830-0010.json	2026-08-30T01:59:32Z
EXP-20260830-0011	HYP-0008	random_causal_guess	quick	complete	0.5416666666666666	1.0	1.3833333333333335	64.0	0.0	0.0	True	80d3c0d89d1f5b50575caea9cb21c3a8c9f9f43de992a167eae7698e9e2d1809	research/results/EXP-20260830-0011.json	2026-08-30T02:10:49Z
EXP-20260830-0011	HYP-0008	observational_conditioning	quick	complete	0.6666666666666666	7.0	1.5166666666666666	576.0	0.0	0.0	True	80d3c0d89d1f5b50575caea9cb21c3a8c9f9f43de992a167eae7698e9e2d1809	research/results/EXP-20260830-0011.json	2026-08-30T02:10:49Z
EXP-20260830-0011	HYP-0008	intervention_memorizer	quick	complete	0.6666666666666666	2.0	0.8833333333333333	37776.0	0.0	0.0	True	80d3c0d89d1f5b50575caea9cb21c3a8c9f9f43de992a167eae7698e9e2d1809	research/results/EXP-20260830-0011.json	2026-08-30T02:10:49Z
EXP-20260830-0011	HYP-0008	learned_dense_causal	quick	complete	1.0	78.91666666666667	4.416666666666667	39456.0	1.018712424933244	-0.011947794377456066	True	80d3c0d89d1f5b50575caea9cb21c3a8c9f9f43de992a167eae7698e9e2d1809	research/results/EXP-20260830-0011.json	2026-08-30T02:10:49Z
EXP-20260830-0011	HYP-0008	learned_local_causal	quick	complete	1.0	27.583333333333332	3.9333333333333336	39456.0	0.0	0.5706601362255129	True	80d3c0d89d1f5b50575caea9cb21c3a8c9f9f43de992a167eae7698e9e2d1809	research/results/EXP-20260830-0011.json	2026-08-30T02:10:49Z
EXP-20260830-0011	HYP-0008	oracle_local_causal	quick	complete	1.0	27.583333333333332	3.4499999999999997	896.0	0.0	0.5706601362255129	True	80d3c0d89d1f5b50575caea9cb21c3a8c9f9f43de992a167eae7698e9e2d1809	research/results/EXP-20260830-0011.json	2026-08-30T02:10:49Z
EXP-20260830-0012	HYP-0008	random_causal_guess	screen	complete	0.4513888888888889	1.0	0.4527777777777778	64.0	0.0	0.0	True	49c5ec489cbf4870f14ac4e4715395ce5e22b469c2ea146a6b24b07fd8f6d532	research/results/EXP-20260830-0012.json	2026-08-30T02:29:51Z
EXP-20260830-0012	HYP-0008	adversarial_observational	screen	complete	0.5972222222222222	256.0	13.758333333333333	38960.0	0.0	0.0	True	49c5ec489cbf4870f14ac4e4715395ce5e22b469c2ea146a6b24b07fd8f6d532	research/results/EXP-20260830-0012.json	2026-08-30T02:29:51Z
EXP-20260830-0012	HYP-0008	nearest_intervention	screen	complete	0.4861111111111111	2408.0	124.10555555555555	222000.0	0.0	0.0	True	49c5ec489cbf4870f14ac4e4715395ce5e22b469c2ea146a6b24b07fd8f6d532	research/results/EXP-20260830-0012.json	2026-08-30T02:29:51Z
